model,accuracy,precision_macro,recall_macro,f1_macro
Logistic Regression,0.7937956204379562,0.8122996122917889,0.6784949358233497,0.7214492304091741
MLP Classifier,0.8302919708029197,0.8075415287115911,0.7480419651003695,0.7690400168727816
